ID,Sopt,Lat,Lon
S5Y_01a,5,14.054,44.034
S5Y_01b,184,14.029,44.034
S5Y_02a,15,13.835,43.893
S5Y_02b,184,13.843,43.893
S5Y_03a,-25,13.231,43.992
S5Y_03b,184,13.231,43.982
S5Y_04a,75,13.161,43.343
S5Y_04b,184,13.151,43.343
S5GF_01a,55,8.560,22.357
S5GF_01b,184,8.549,22.322
S5GF_02a,35,8.452,22.431
S5GF_02b,184,8.442,22.409
S5GF_03a,25,8.335,23.047
S5GF_03b,184,8.354,23.014
S5GF_04a,-95,1.777,21.870
S5GF_04b,145,1.795,21.839
S5GF_04c,44,1.816,21.939
S5GF_05a,-95,1.787,23.196
S5GF_05b,155,1.770,23.196
S5GF_06a,-95,0.984,23.671
S5GF_06b,145,1.002,23.671
